iter	Logloss
0	0.6864869453
1	0.6807802285
2	0.6748959883
3	0.6683888285
4	0.6622319806
5	0.6559765904
6	0.6505637758
7	0.6453122865
8	0.6395350984
9	0.6346289164
10	0.6295767113
11	0.6250933082
12	0.6205879493
13	0.616511959
14	0.6119718599
15	0.6078330963
16	0.6032224254
17	0.5999368949
18	0.5957594246
19	0.5911720776
20	0.5875220197
21	0.5844907016
22	0.5819327574
23	0.5796488023
24	0.5764054747
25	0.5724642424
26	0.5691772053
27	0.5652389475
28	0.5612701555
29	0.5591007762
30	0.5555183171
31	0.553299103
32	0.5502327584
33	0.5473304954
34	0.5438649748
35	0.54020367
36	0.5370812274
37	0.5333925635
38	0.5298328957
39	0.5269062602
40	0.5240508986
41	0.5211704372
42	0.5183968849
43	0.5150538913
44	0.5121043249
45	0.509935026
46	0.5072192373
47	0.5043836907
48	0.5029582075
49	0.5002112602
50	0.4975467586
51	0.4951454853
52	0.493081062
53	0.4913774205
54	0.4893328867
55	0.4868582631
56	0.4847752175
57	0.4829673881
58	0.4817645353
59	0.4796873128
60	0.4773546512
61	0.4748946306
62	0.4732420931
63	0.4723153925
64	0.4710050018
65	0.4695204069
66	0.4679556645
67	0.4663745078
68	0.4652692723
69	0.4636580306
70	0.4621634204
71	0.4608830031
72	0.459448732
73	0.4578759669
74	0.4565478041
75	0.4549472389
76	0.4537511222
77	0.4520739755
78	0.4502405526
79	0.4487917052
80	0.4479300885
81	0.4469429764
82	0.4457119806
83	0.4439288398
84	0.4420608345
85	0.4405426876
86	0.4396646737
87	0.4383460271
88	0.4369883746
89	0.4354634566
90	0.434361747
91	0.4329303135
92	0.4315619355
93	0.4303230871
94	0.4297427538
95	0.4289520536
96	0.4280080755
97	0.4272974175
98	0.4260216239
99	0.4253635852
100	0.4243871011
101	0.4233383979
102	0.4222184239
103	0.4208485848
104	0.4201914051
105	0.4193106132
106	0.4184430566
107	0.4178349868
108	0.4169216931
109	0.4164520378
110	0.4153025218
111	0.4140984729
112	0.413777203
113	0.4130142757
114	0.4120796893
115	0.4115207472
116	0.4106703215
117	0.409719813
118	0.4091826393
119	0.4088147238
120	0.4079465457
121	0.4071531169
122	0.4064177776
123	0.4058999415
124	0.405272314
125	0.4046846771
126	0.4037399629
127	0.4028833863
128	0.4023048758
129	0.4016204897
130	0.4010263222
131	0.4005262069
132	0.3998735511
133	0.3989283288
134	0.3980748678
135	0.3973416906
136	0.3963880074
137	0.3961961438
138	0.3952612482
139	0.3945611279
140	0.3936825324
141	0.3930458809
142	0.3927186796
143	0.3922301356
144	0.3914270674
145	0.3908878997
146	0.3905546313
147	0.3901707625
148	0.3897510837
149	0.3893900249
150	0.3888081725
151	0.388409073
152	0.387778249
153	0.3875390003
154	0.3870310723
155	0.3864848683
156	0.3861449438
157	0.3858125741
158	0.3854017744
159	0.3850694102
160	0.3843734907
161	0.3838801303
162	0.3834964458
163	0.3827872861
164	0.3824359557
165	0.3821577803
166	0.3816709207
167	0.3812587155
168	0.3807490827
169	0.3802723252
170	0.3799493109
171	0.3796221057
172	0.3792378682
173	0.3785818255
174	0.3784437482
175	0.3781299117
176	0.3780166646
177	0.3775297241
178	0.3772540398
179	0.3765944805
180	0.376227251
181	0.3758097687
182	0.37540308
183	0.3751646227
184	0.3745679536
185	0.3743773112
186	0.3739697573
187	0.3732142039
188	0.3730165967
189	0.372840478
190	0.3722889533
191	0.3721169697
192	0.3716922764
193	0.3713279015
194	0.3709260413
195	0.3707589985
196	0.3703879985
197	0.3701724501
198	0.3698086684
199	0.3696470646
200	0.3694190325
201	0.3689521805
202	0.3687045554
203	0.3683284566
204	0.3681141815
205	0.3677878674
206	0.3673635115
207	0.3667568429
208	0.3664548989
209	0.3661665893
210	0.366017578
211	0.3658343378
212	0.3655517894
213	0.3649097223
214	0.3647332438
215	0.3643956216
216	0.3640732589
217	0.3637541448
218	0.3633846381
219	0.3630002408
220	0.3628014421
221	0.3624517098
222	0.362118318
223	0.3619408958
224	0.361875589
225	0.3617209353
226	0.3613305227
227	0.3611848037
228	0.3610035787
229	0.3609016128
230	0.3605318382
231	0.3601520246
232	0.3599675234
233	0.359632719
234	0.3595635562
235	0.3593319728
236	0.3591130569
237	0.3588649529
238	0.3584515119
239	0.3582958311
240	0.3579218085
241	0.3576070473
242	0.3575500596
243	0.3572453233
244	0.357065456
245	0.356987422
246	0.3568348762
247	0.3567065906
248	0.3564922143
249	0.356364689
250	0.3561764782
251	0.3560962997
252	0.356004682
253	0.3555942789
254	0.3552393167
255	0.3549482183
256	0.3547043453
257	0.3545981212
258	0.3545241383
259	0.3543227509
260	0.3541234762
261	0.3539499736
262	0.3537719675
263	0.3534449134
264	0.3529724859
265	0.3527907714
266	0.3525720668
267	0.3524474702
268	0.3523474219
269	0.3520954399
270	0.3519976526
271	0.3518511094
272	0.3516559822
273	0.3515216662
274	0.3513049912
275	0.3511403352
276	0.351012289
277	0.3508680761
278	0.3506737453
279	0.3505231461
280	0.3504361952
281	0.3504103224
282	0.3501587718
283	0.3500791166
284	0.3498438182
285	0.3494839997
